"ID"|"ID_EXEC"|"STATUS"|"OBS_STATUS"|"DT_INSERT"|"DT_INI"|"DT_END"|"DT_UPDATE"|"ID_OFICIO"|"CD_PROCEDENCIA"|"COOPERACOES"|"JUSTIFICATIVA_IA"|"ANALISTA_RESPONSAVEL"|"NIVEL_COMPLEXIDADE"|"DT_LIMITE_CLIENTE"|"PRAZO_JUIZ"
9766|1093868|1|SUCCESS|2026-09-04 13:44:25.000|2026-09-04 13:48:33.000|2026-09-04 13:49:25.000|2026-09-04 13:49:25.000|329324|OFP|"056-PCPR"|Atribuição para balancear carga de trabalho. Ofício de complexidade 2 distribuído para analista com capacidade disponível.|ANA.OLIVEIRA3|"2"||
9765|1093868|1|SUCCESS|2026-09-04 13:44:25.000|2026-09-04 13:47:25.000|2026-09-04 13:48:33.000|2026-09-04 13:48:33.000|329323|OFP|"056-PCPR"|Atribuição para balancear carga de trabalho. Ofício de complexidade 2 distribuído para analista com capacidade disponível.|MAU.SOARES|"2"||
9764|1093868|1|SUCCESS|2026-09-04 13:44:25.000|2026-09-04 13:46:17.000|2026-09-04 13:47:25.000|2026-09-04 13:47:25.000|329818|OFP|"00000000100"|Atribuição para balancear carga de trabalho. Ofício de complexidade 3 distribuído para analista com capacidade disponível, evitando repetição sequencial.|RUTE|"3"||
9763|1093868|1|SUCCESS|2026-09-04 13:44:25.000|2026-09-04 13:45:25.000|2026-09-04 13:46:17.000|2026-09-04 13:46:17.000|329793|OFP|"075-SEFAZRS"|Atribuição para balancear carga de trabalho. Ofício de complexidade 2 distribuído para analista com capacidade disponível.|MARCELO|"2"||
9762|1093868|1|SUCCESS|2026-09-04 13:44:25.000|2026-09-04 13:44:28.000|2026-09-04 13:45:25.000|2026-09-04 13:45:25.000|329792|OFP|"075-SEFAZRS"|Atribuição para balancear carga de trabalho. Ofício de complexidade 2 distribuído para analista com capacidade disponível.|ANA.OLIVEIRA3|"2"||
9578|1086729|6|Analista [@Rute] não encontrado no Cabine ao definir responsável para o ofício [329818]|2026-08-27 11:43:09.000|2026-08-27 11:43:42.000|2026-08-27 11:44:12.000|2026-08-27 11:44:12.000|329818|OFP|"075-SEFAZRS"|Distribuição para atingir a meta de 23% de distribuição, considerando capacidade disponível.|@Rute|"2"||
9577|1086729|6|Analista [@felipe.rocha] não encontrado no Cabine ao definir responsável para o ofício [329793]|2026-08-27 11:43:09.000|2026-08-27 11:43:28.000|2026-08-27 11:43:42.000|2026-08-27 11:43:42.000|329793|OFP|"075-SEFAZRS"|Distribuição para atingir a meta de 8% de distribuição, considerando capacidade disponível.|@felipe.rocha|"2"||
9576|1086729|6|Analista [@jr7] não encontrado no Cabine ao definir responsável para o ofício [329792]|2026-08-27 11:43:09.000|2026-08-27 11:43:11.000|2026-08-27 11:43:28.000|2026-08-27 11:43:28.000|329792|OFP|"075-SEFAZRS"|Distribuição inicial para balanceamento de carga, analista com 0% de distribuição.|@jr7|"2"||
9507|1085937|6|Analista [JESSICA.GOMES] não encontrado no Cabine ao definir responsável|2026-08-26 13:35:55.000|2026-08-26 14:21:55.000|2026-08-26 14:22:10.000|2026-08-26 14:22:10.000|329324|OFP|"056-PCPR"|Analista com capacidade disponível e baixa carga de trabalho histórica.|JESSICA.GOMES|"2"||
9498|1085937|6|Analista [JESSICA.GOMES] não encontrado no Cabine ao definir responsável|2026-08-26 13:35:55.000|2026-08-26 14:21:40.000|2026-08-26 14:21:55.000|2026-08-26 14:21:55.000|329323|OFP|"056-PCPR"|Analista com capacidade disponível e baixa carga de trabalho histórica.|JESSICA.GOMES|"2"||
