"PERIOD"|"ID_BOT"|"QTDE_EXECS"|"QTDE_SUCESSO"|"QTDE_ERROS"|"QTDE_ITENS"
"11/2022"|21|1|1|0|1
"04/2023"|21|1|1|0|1
"05/2023"|21|7|5|2|7
"06/2023"|21|5|5|0|5
"07/2023"|21|6|6|0|6
"08/2023"|21|8|8|0|8
"09/2023"|21|4|4|0|4
"10/2023"|21|8|6|0|6
"11/2023"|21|4|4|0|4
"12/2023"|21|4|4|0|4
"01/2024"|21|5|5|0|5
"02/2024"|21|5|5|0|5
"03/2024"|21|4|4|0|4
"04/2024"|21|6|5|1|6
"05/2024"|21|4|4|0|4
"06/2024"|21|4|4|0|4
"07/2024"|21|5|5|0|5
"08/2024"|21|4|4|0|4
"09/2024"|21|4|4|0|4
"10/2024"|21|5|5|0|5
"11/2024"|21|4|4|0|4
"12/2024"|21|6|6|0|6
"01/2025"|21|4|4|0|4
"02/2025"|21|4|4|0|4
"03/2025"|21|4|4|0|4
"04/2025"|21|5|5|0|5
"05/2025"|21|4|4|0|4
"06/2025"|21|4|4|0|4
"07/2025"|21|5|5|0|5
"08/2025"|21|4|4|0|4
"09/2025"|21|5|5|0|5
"10/2025"|21|4|4|0|4
"11/2025"|21|4|4|0|4
"12/2025"|21|20|6|6|12
"01/2026"|21|9|6|0|6
"02/2026"|21|10|6|1|7
"03/2026"|21|13|4|3|8
"04/2026"|21|28|8|1|9
"05/2026"|21|29|6|6|12
"06/2026"|21|8|5|3|8
"07/2026"|21|4|4|0|4
"08/2026"|21|1|1|0|1
"01/2022"|35|272|262|8|270
"02/2022"|35|362|354|7|361
"03/2022"|35|411|393|15|408
"04/2022"|35|393|383|6|389
"05/2022"|35|398|386|0|386
"06/2022"|35|398|395|3|398
"07/2022"|35|377|371|6|377
"08/2022"|35|398|381|16|397
"09/2022"|35|391|368|10|378
"10/2022"|35|336|333|3|336
"11/2022"|35|362|357|5|362
"12/2022"|35|359|335|18|353
"01/2023"|35|336|314|21|335
"02/2023"|35|318|252|51|303
"03/2023"|35|473|446|26|472
"04/2023"|35|416|404|12|416
"05/2023"|35|484|445|38|483
"06/2023"|35|441|411|29|440
"07/2023"|35|435|410|24|434
"08/2023"|35|491|484|5|489
"09/2023"|35|443|430|13|443
"10/2023"|35|448|421|18|448
"11/2023"|35|442|431|10|442
"12/2023"|35|429|425|3|428
"01/2024"|35|466|462|4|466
"02/2024"|35|420|417|2|419
"03/2024"|35|396|394|2|396
"04/2024"|35|374|367|7|374
"05/2024"|35|444|443|1|444
"06/2024"|35|407|403|4|407
"07/2024"|35|485|477|1|485
"08/2024"|35|506|498|6|504
"09/2024"|35|473|473|0|473
"10/2024"|35|537|530|4|534
"11/2024"|35|471|468|3|471
"12/2024"|35|499|463|18|498
"01/2025"|35|441|424|4|437
"02/2025"|35|410|409|1|410
"03/2025"|35|464|464|0|464
"04/2025"|35|428|396|17|415
"05/2025"|35|487|486|1|487
"06/2025"|35|466|447|1|465
"07/2025"|35|501|501|0|501
"08/2025"|35|460|445|11|459
"09/2025"|35|437|436|1|437
"10/2025"|35|374|371|2|373
"11/2025"|35|325|320|1|321
"12/2025"|35|300|293|0|293
"01/2026"|35|326|318|0|318
"02/2026"|35|400|397|2|399
"03/2026"|35|320|317|0|317
"04/2026"|35|261|260|0|260
"05/2026"|35|208|202|5|207
"06/2026"|35|205|202|0|202
"07/2026"|35|205|205|0|205
"08/2026"|35|28|27|1|28
"01/2022"|48|222|200|18|218
"02/2022"|48|344|330|9|339
"03/2022"|48|387|367|15|382
"04/2022"|48|351|347|3|350
"05/2022"|48|401|382|17|400
"06/2022"|48|376|374|1|375
"07/2022"|48|374|363|10|373
"08/2022"|48|390|365|22|387
"09/2022"|48|321|300|19|319
"10/2022"|48|301|285|15|300
"11/2022"|48|354|292|62|354
"12/2022"|48|408|374|29|403
"01/2023"|48|349|342|6|348
"02/2023"|48|291|277|11|288
"03/2023"|48|446|423|8|431
"04/2023"|48|365|356|8|364
"05/2023"|48|440|431|8|439
"06/2023"|48|363|334|24|358
"07/2023"|48|358|342|14|356
"08/2023"|48|386|369|15|384
"09/2023"|48|290|268|20|288
"10/2023"|48|271|249|20|269
"11/2023"|48|326|297|23|320
"12/2023"|48|297|291|6|297
"01/2024"|48|390|382|8|390
"02/2024"|48|315|305|8|313
"03/2024"|48|320|313|6|319
"04/2024"|48|286|277|8|285
"05/2024"|48|496|480|16|496
"06/2024"|48|417|405|12|417
"07/2024"|48|495|485|10|495
"08/2024"|48|487|477|10|487
"09/2024"|48|459|455|4|459
"10/2024"|48|520|501|10|511
"11/2024"|48|469|464|5|467
"12/2024"|48|360|350|3|360
"01/2025"|48|368|337|13|365
"02/2025"|48|334|310|21|331
"03/2025"|48|343|308|31|339
"04/2025"|48|206|161|24|185
"05/2025"|48|388|360|20|380
"06/2025"|48|393|368|21|389
"07/2025"|48|359|320|36|356
"08/2025"|48|394|389|5|394
"09/2025"|48|390|378|10|388
"10/2025"|48|364|342|16|358
"11/2025"|48|305|275|18|293
"12/2025"|48|371|336|27|363
"01/2026"|48|262|236|1|237
"02/2026"|48|223|164|1|165
"03/2026"|48|236|72|22|94
"04/2026"|48|355|313|37|350
"05/2026"|48|268|255|9|264
"06/2026"|48|255|52|170|222
"07/2026"|48|242|4|208|211
"01/2023"|85|144|144|0|144
"02/2023"|85|1794|1793|1|1794
"03/2023"|85|2167|2161|5|2166
